JAN 2020,,,,,,,FEB 2020,,,,,,,MAR 2020,,,,,,,APR 2020,,,,,,,MAY 2020,,,,,,,JUN 2020,,,,,,,JUL 2020,,,,,,,AUG 2020,,,,,,,SEP 2020,,,,,,,OCT 2020,,,,,,,NOV 2020,,,,,,,DEC 2020,,,,,,,,,,,
"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,,"Total Monitored
Capacity
(MW)",Total Target,,
,,,,,Jan-20,,,,,,,FEB-2020,,,,,,,MAR-2020,,,,,,,APR-2020,,,,,,,MAY-2020,,,,,,,JUN-2020,,,,,,,JUL-2020,,,,,,,AUG-2020,,,,,,,SEP-2020,,,,,,,OCT-2020,,,,,,,NOV-2020,,,,,,,DEC-2020,,,,,,
,,,,APR 2019 to MAR 2020,,,,,,,APR 2019 to MAR 2020,,,,,,,APR 2019 to MAR 2020,,,,,,,APR 2020 to MAR 2021,,,,,,,APR 2020 to MAR 2021,,,,,,,APR 2020 to MAR 2021,,,,,,,APR 2020 to MAR 2021,,,,,,,APR 2020 to MAR 2021,,,,,,,APR 2020 to MAR 2021,,,,,,,APR 2020 to MAR 2021,,,,,,,APR 2020 to MAR 2021,,,,,,,APR 2020 to MAR 2021,,,,,APR 2020 to MAR 2021,,
,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,,,PROGRAM,ACTUAL,,,,Total PROGRAM,Total ACTUAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,1,2,3,4,,,,,
TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,TAMIL NADU,,,,,,,,,,,
STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,STATE SECTOR,,,,,,,,,,,
METTUR TPS,,,840.00,5500.00,460.00,272.40,METTUR TPS,,,840.00,5500.00,453.00,392.60,METTUR TPS,,,840.00,5500.00,494.00,362.87,METTUR TPS,,,840.00,5500.00,518.00,145.69,METTUR TPS,,,840.00,5500.00,534.00,458.79,METTUR TPS,,,840.00,5500.00,505.00,361.39,METTUR TPS,,,840.00,5500.00,435.00,341.55,METTUR TPS,,,840.00,5500.00,467.00,214.40,METTUR TPS,,,840.00,5500.00,399.00,146.39,METTUR TPS,,,840.00,5500.00,432.00,204.95,METTUR TPS,,,840.00,5500.00,374.00,193.43,METTUR TPS,,,840.00,5500.00,449.00,310.38,,10080.00,66000.00,5520.00,3404.84
METTUR TPS - II,,,600.00,3500.00,321.00,272.64,METTUR TPS - II,,,600.00,3500.00,295.00,255.68,METTUR TPS - II,,,600.00,3500.00,301.00,223.92,METTUR TPS - II,,,600.00,3500.00,342.00,0.00,METTUR TPS - II,,,600.00,3500.00,355.00,233.63,METTUR TPS - II,,,600.00,3500.00,340.00,171.00,METTUR TPS - II,,,600.00,3500.00,324.00,380.08,METTUR TPS - II,,,600.00,3500.00,151.00,4.85,METTUR TPS - II,,,600.00,3500.00,159.00,14.05,METTUR TPS - II,,,600.00,3500.00,287.00,0.00,METTUR TPS - II,,,600.00,3500.00,284.00,0.00,METTUR TPS - II,,,600.00,3500.00,308.00,213.09,,7200.00,42000.00,3467.00,1768.94
NORTH CHENNAI TPS,,,1830.00,11200.00,1008.00,587.18,NORTH CHENNAI TPS,,,1830.00,11200.00,926.00,931.38,NORTH CHENNAI TPS,,,1830.00,11200.00,999.00,684.76,NORTH CHENNAI TPS,,,1830.00,11700.00,1080.00,190.50,NORTH CHENNAI TPS,,,1830.00,11700.00,1118.00,556.18,NORTH CHENNAI TPS,,,1830.00,11700.00,1073.00,774.81,NORTH CHENNAI TPS,,,1830.00,11700.00,802.00,618.14,NORTH CHENNAI TPS,,,1830.00,11700.00,801.00,682.89,NORTH CHENNAI TPS,,,1830.00,11700.00,656.00,419.36,NORTH CHENNAI TPS,,,1830.00,11700.00,1113.00,501.42,NORTH CHENNAI TPS,,,1830.00,11700.00,895.00,470.73,NORTH CHENNAI TPS,,,1830.00,11700.00,913.00,358.52,,21960.00,138900.00,11384.00,6775.87
TUTICORIN TPS,,,1050.00,5400.00,491.00,396.03,TUTICORIN TPS,,,1050.00,5400.00,451.00,451.29,TUTICORIN TPS,,,1050.00,5400.00,483.00,471.54,TUTICORIN TPS,,,1050.00,5400.00,527.00,199.19,TUTICORIN TPS,,,1050.00,5400.00,548.00,465.61,TUTICORIN TPS,,,1050.00,5400.00,478.00,449.05,TUTICORIN TPS,,,1050.00,5400.00,353.00,344.68,TUTICORIN TPS,,,1050.00,5400.00,366.00,513.02,TUTICORIN TPS,,,1050.00,5400.00,362.00,366.91,TUTICORIN TPS,,,1050.00,5400.00,441.00,248.11,TUTICORIN TPS,,,1050.00,5400.00,440.00,314.02,TUTICORIN TPS,,,1050.00,5400.00,431.00,275.49,,12600.00,64800.00,5371.00,4494.94
TANGEDCO,COAL,,4320.00,25600.00,2280.00,1528.25,TANGEDCO,COAL,,4320.00,25600.00,2125.00,2030.95,TANGEDCO,COAL,,4320.00,25600.00,2277.00,1743.09,TANGEDCO,COAL,,4320.00,26100.00,2467.00,535.38,TANGEDCO,COAL,,4320.00,26100.00,2555.00,1714.21,TANGEDCO,COAL,,4320.00,26100.00,2396.00,1756.25,TANGEDCO,COAL,,4320.00,26100.00,1914.00,1684.45,TANGEDCO,COAL,,4320.00,26100.00,1785.00,1415.16,TANGEDCO,COAL,,4320.00,26100.00,1576.00,946.71,TANGEDCO,COAL,,4320.00,26100.00,2273.00,954.48,TANGEDCO,COAL,,4320.00,26100.00,1993.00,978.18,TANGEDCO,COAL,,4320.00,26100.00,2101.00,1157.48,,51840.00,311700.00,25742.00,16444.59
STATE SECTOR,THERMAL,,4320.00,25600.00,2280.00,1528.25,STATE SECTOR,THERMAL,,4320.00,25600.00,2125.00,2030.95,STATE SECTOR,THERMAL,,4320.00,25600.00,2277.00,1743.09,STATE SECTOR,THERMAL,,4320.00,26100.00,2467.00,535.38,STATE SECTOR,THERMAL,,4320.00,26100.00,2555.00,1714.21,STATE SECTOR,THERMAL,,4320.00,26100.00,2396.00,1756.25,STATE SECTOR,THERMAL,,4320.00,26100.00,1914.00,1684.45,STATE SECTOR,THERMAL,,4320.00,26100.00,1785.00,1415.16,STATE SECTOR,THERMAL,,4320.00,26100.00,1576.00,946.71,STATE SECTOR,THERMAL,,4320.00,26100.00,2273.00,954.48,STATE SECTOR,THERMAL,,4320.00,26100.00,1993.00,978.18,STATE SECTOR,THERMAL,,4320.00,26100.00,2101.00,1157.48,,51840.00,311700.00,25742.00,16444.59
BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,BASIN BRIDGE GT (Liq.),,,120.00,0.00,0.00,0.00,,1440.00,0.00,0.00,0.00
KOVIKALPAL CCPP,,,107.88,324.00,24.00,30.63,KOVIKALPAL CCPP,,,107.88,324.00,24.00,86.35,KOVIKALPAL CCPP,,,107.88,324.00,28.00,25.04,KOVIKALPAL CCPP,,,107.88,324.00,31.00,19.90,KOVIKALPAL CCPP,,,107.88,324.00,32.00,76.03,KOVIKALPAL CCPP,,,107.88,324.00,31.00,16.22,KOVIKALPAL CCPP,,,107.88,324.00,0.00,22.57,KOVIKALPAL CCPP,,,107.88,324.00,16.00,22.69,KOVIKALPAL CCPP,,,107.88,324.00,31.00,23.26,KOVIKALPAL CCPP,,,107.88,324.00,25.00,17.07,KOVIKALPAL CCPP,,,107.88,324.00,31.00,17.14,KOVIKALPAL CCPP,,,107.88,324.00,32.00,13.75,,1294.56,3888.00,305.00,370.65
KUTTALAM CCPP,,,100.00,370.00,33.00,33.67,KUTTALAM CCPP,,,100.00,370.00,31.00,29.44,KUTTALAM CCPP,,,100.00,370.00,33.00,17.97,KUTTALAM CCPP,,,100.00,370.00,32.00,49.84,KUTTALAM CCPP,,,100.00,370.00,32.00,36.86,KUTTALAM CCPP,,,100.00,370.00,32.00,31.78,KUTTALAM CCPP,,,100.00,370.00,32.00,32.97,KUTTALAM CCPP,,,100.00,370.00,32.00,62.41,KUTTALAM CCPP,,,100.00,370.00,32.00,62.13,KUTTALAM CCPP,,,100.00,370.00,32.00,62.38,KUTTALAM CCPP,,,100.00,370.00,24.00,53.55,KUTTALAM CCPP,,,100.00,370.00,26.00,49.01,,1200.00,4440.00,371.00,522.01
VALUTHUR CCPP,,,186.20,900.00,79.00,117.73,VALUTHUR CCPP,,,186.20,900.00,76.00,90.51,VALUTHUR CCPP,,,186.20,900.00,80.00,116.08,VALUTHUR CCPP,,,186.20,900.00,75.00,117.04,VALUTHUR CCPP,,,186.20,900.00,77.00,111.62,VALUTHUR CCPP,,,186.20,900.00,75.00,115.07,VALUTHUR CCPP,,,186.20,900.00,62.00,98.13,VALUTHUR CCPP,,,186.20,900.00,77.00,93.58,VALUTHUR CCPP,,,186.20,900.00,75.00,110.50,VALUTHUR CCPP,,,186.20,900.00,77.00,115.20,VALUTHUR CCPP,,,186.20,900.00,75.00,93.29,VALUTHUR CCPP,,,186.20,900.00,77.00,42.63,,2234.40,10800.00,905.00,1221.38
TANGEDCO,NATURAL GAS,,514.08,1594.00,136.00,182.03,TANGEDCO,NATURAL GAS,,514.08,1594.00,131.00,206.30,TANGEDCO,NATURAL GAS,,514.08,1594.00,141.00,159.09,TANGEDCO,NATURAL GAS,,514.08,1594.00,138.00,186.78,TANGEDCO,NATURAL GAS,,514.08,1594.00,141.00,224.51,TANGEDCO,NATURAL GAS,,514.08,1594.00,138.00,163.07,TANGEDCO,NATURAL GAS,,514.08,1594.00,94.00,153.67,TANGEDCO,NATURAL GAS,,514.08,1594.00,125.00,178.68,TANGEDCO,NATURAL GAS,,514.08,1594.00,138.00,195.89,TANGEDCO,NATURAL GAS,,514.08,1594.00,134.00,194.65,TANGEDCO,NATURAL GAS,,514.08,1594.00,130.00,163.98,TANGEDCO,NATURAL GAS,,514.08,1594.00,135.00,105.39,,6168.96,19128.00,1581.00,2114.04
STATE SECTOR,NATURAL GAS,,514.08,1594.00,136.00,182.03,STATE SECTOR,NATURAL GAS,,514.08,1594.00,131.00,206.30,STATE SECTOR,NATURAL GAS,,514.08,1594.00,141.00,159.09,STATE SECTOR,NATURAL GAS,,514.08,1594.00,138.00,186.78,STATE SECTOR,NATURAL GAS,,514.08,1594.00,141.00,224.51,STATE SECTOR,NATURAL GAS,,514.08,1594.00,138.00,163.07,STATE SECTOR,NATURAL GAS,,514.08,1594.00,94.00,153.67,STATE SECTOR,NATURAL GAS,,514.08,1594.00,125.00,178.68,STATE SECTOR,NATURAL GAS,,514.08,1594.00,138.00,195.89,STATE SECTOR,NATURAL GAS,,514.08,1594.00,134.00,194.65,STATE SECTOR,NATURAL GAS,,514.08,1594.00,130.00,163.98,STATE SECTOR,NATURAL GAS,,514.08,1594.00,135.00,105.39,,6168.96,19128.00,1581.00,2114.04
ALIYAR  HPS.,,,60.00,120.00,11.00,5.48,ALIYAR  HPS.,,,60.00,120.00,7.00,2.70,ALIYAR  HPS.,,,60.00,120.00,10.00,10.14,ALIYAR  HPS.,,,60.00,120.00,9.00,4.62,ALIYAR  HPS.,,,60.00,120.00,3.00,6.50,ALIYAR  HPS.,,,60.00,120.00,0.00,7.69,ALIYAR  HPS.,,,60.00,120.00,15.00,8.22,ALIYAR  HPS.,,,60.00,120.00,15.00,20.70,ALIYAR  HPS.,,,60.00,120.00,10.00,22.63,ALIYAR  HPS.,,,60.00,120.00,10.00,16.51,ALIYAR  HPS.,,,60.00,120.00,15.00,13.11,ALIYAR  HPS,,,60.00,120.00,15.00,18.99,,720.00,1440.00,120.00,137.29
BHAWANI BARRAGE-II HPS,,,30.00,52.00,6.00,9.87,BHAWANI BARRAGE-II HPS,,,30.00,52.00,1.00,0.00,BHAWANI BARRAGE-II HPS,,,30.00,52.00,0.00,0.00,BHAWANI BARRAGE-II HPS,,,30.00,52.00,1.00,0.00,BHAWANI BARRAGE-II HPS,,,30.00,52.00,0.00,0.00,BHAWANI BARRAGE-II HPS,,,30.00,52.00,0.00,8.43,BHAWANI BARRAGE-II HPS,,,30.00,52.00,0.00,15.92,BHAWANI BARRAGE-II HPS,,,30.00,52.00,6.00,13.55,BHAWANI BARRAGE-II HPS,,,30.00,52.00,16.00,14.68,BHAWANI BARRAGE-II HPS,,,30.00,52.00,13.00,14.52,BHAWANI BARRAGE-II HPS,,,30.00,52.00,3.00,9.09,BHAWANI BARRAGE-II HPS,,,30.00,52.00,8.00,3.29,,360.00,624.00,54.00,89.35
BHAWANI BARRAGE-III HPS,,,30.00,25.00,4.00,0.00,BHAWANI BARRAGE-III HPS,,,30.00,25.00,1.00,0.00,BHAWANI BARRAGE-III HPS,,,30.00,25.00,0.00,0.00,BHAWANI BARRAGE-III HPS,,,30.00,40.00,0.00,0.00,BHAWANI BARRAGE-III HPS,,,30.00,40.00,0.00,0.00,BHAWANI BARRAGE-III HPS,,,30.00,40.00,0.00,6.25,BHAWANI BARRAGE-III HPS,,,30.00,40.00,0.00,11.25,BHAWANI BARRAGE-III HPS,,,30.00,40.00,6.00,9.86,BHAWANI BARRAGE-III HPS,,,30.00,40.00,2.00,11.51,BHAWANI BARRAGE-III HPS,,,30.00,40.00,12.00,12.44,BHAWANI BARRAGE-III HPS,,,30.00,40.00,4.00,7.26,BHAWANI BARRAGE-III HPS,,,30.00,40.00,10.00,0.92,,360.00,435.00,39.00,59.49
BHAWANI KATTAL,,,30.00,57.00,6.00,8.44,BHAWANI KATTAL,,,30.00,57.00,1.00,1.13,BHAWANI KATTAL,,,30.00,57.00,0.00,0.95,BHAWANI KATTAL,,,30.00,57.00,2.00,3.22,BHAWANI KATTAL,,,30.00,57.00,1.00,0.71,BHAWANI KATTAL,,,30.00,57.00,1.00,7.64,BHAWANI KATTAL,,,30.00,57.00,1.00,16.66,BHAWANI KATTAL,,,30.00,57.00,7.00,12.73,BHAWANI KATTAL,,,30.00,57.00,14.00,14.14,BHAWANI KATTAL,,,30.00,57.00,11.00,13.82,BHAWANI KATTAL,,,30.00,57.00,3.00,15.30,BHAWANI KATTAL,,,30.00,57.00,10.00,14.17,,360.00,684.00,57.00,108.91
KADAMPARI  HPS.,,,400.00,450.00,39.00,39.53,KADAMPARI  HPS.,,,400.00,450.00,30.00,38.21,KADAMPARI  HPS.,,,400.00,450.00,30.00,44.37,KADAMPARI  HPS.,,,400.00,378.00,16.00,33.83,KADAMPARI  HPS.,,,400.00,378.00,16.00,46.51,KADAMPARI  HPS.,,,400.00,378.00,16.00,30.75,KADAMPARI  HPS.,,,400.00,378.00,44.00,39.51,KADAMPARI  HPS.,,,400.00,378.00,44.00,54.07,KADAMPARI  HPS.,,,400.00,378.00,44.00,31.14,KADAMPARI  HPS.,,,400.00,378.00,44.00,21.65,KADAMPARI  HPS.,,,400.00,378.00,44.00,24.01,KADAMPARI  HPS.,,,400.00,378.00,32.00,27.40,,4800.00,4752.00,399.00,430.98
KODAYAR-I HPS.,,,60.00,140.00,20.00,13.19,KODAYAR-I HPS.,,,60.00,140.00,8.00,11.95,KODAYAR-I HPS.,,,60.00,140.00,6.00,12.96,KODAYAR-I HPS.,,,60.00,140.00,0.00,11.04,KODAYAR-I HPS.,,,60.00,140.00,6.00,8.92,KODAYAR-I HPS.,,,60.00,140.00,6.00,0.00,KODAYAR-I HPS.,,,60.00,140.00,6.00,9.55,KODAYAR-I HPS.,,,60.00,140.00,14.00,11.13,KODAYAR-I HPS.,,,60.00,140.00,14.00,12.51,KODAYAR-I HPS.,,,60.00,140.00,20.00,19.47,KODAYAR-I HPS.,,,60.00,140.00,20.00,26.10,KODAYAR-I HPS.,,,60.00,140.00,20.00,27.66,,720.00,1680.00,140.00,164.48
KODAYAR-II HPS.,,,40.00,60.00,7.00,3.96,KODAYAR-II HPS.,,,40.00,60.00,4.00,3.32,KODAYAR-II HPS.,,,40.00,60.00,4.00,3.33,KODAYAR-II HPS.,,,40.00,60.00,0.00,2.75,KODAYAR-II HPS.,,,40.00,60.00,2.00,2.76,KODAYAR-II HPS.,,,40.00,60.00,2.00,2.86,KODAYAR-II HPS.,,,40.00,60.00,2.00,4.82,KODAYAR-II HPS.,,,40.00,60.00,5.00,9.50,KODAYAR-II HPS.,,,40.00,60.00,7.00,9.27,KODAYAR-II HPS.,,,40.00,60.00,7.00,10.37,KODAYAR-II HPS.,,,40.00,60.00,9.00,10.98,KODAYAR-II HPS.,,,40.00,60.00,11.00,11.27,,480.00,720.00,60.00,75.19
KUNDAH-I HPS.,,,60.00,216.00,16.00,27.28,KUNDAH-I HPS.,,,60.00,216.00,22.00,24.31,KUNDAH-I HPS.,,,60.00,216.00,30.00,27.36,KUNDAH-I HPS.,,,60.00,216.00,18.00,25.75,KUNDAH-I HPS.,,,60.00,216.00,18.00,29.22,KUNDAH-I HPS.,,,60.00,216.00,21.00,24.50,KUNDAH-I HPS.,,,60.00,216.00,22.00,24.83,KUNDAH-I HPS.,,,60.00,216.00,17.00,22.98,KUNDAH-I HPS.,,,60.00,216.00,19.00,18.97,KUNDAH-I HPS.,,,60.00,216.00,18.00,24.64,KUNDAH-I HPS.,,,60.00,216.00,18.00,26.14,KUNDAH-I HPS.,,,60.00,216.00,18.00,27.38,,720.00,2592.00,237.00,303.36
KUNDAH-II HPS.,,,175.00,442.00,37.00,63.71,KUNDAH-II HPS.,,,175.00,442.00,42.00,56.74,KUNDAH-II HPS.,,,175.00,442.00,50.00,62.70,KUNDAH-II HPS.,,,175.00,500.00,42.00,59.71,KUNDAH-II HPS.,,,175.00,500.00,41.00,68.13,KUNDAH-II HPS.,,,175.00,500.00,45.00,57.69,KUNDAH-II HPS.,,,175.00,500.00,41.00,61.87,KUNDAH-II HPS.,,,175.00,500.00,49.00,73.90,KUNDAH-II HPS.,,,175.00,500.00,49.00,58.99,KUNDAH-II HPS.,,,175.00,500.00,45.00,62.96,KUNDAH-II HPS.,,,175.00,500.00,42.00,69.06,KUNDAH-II HPS.,,,175.00,500.00,42.00,68.60,,2100.00,5826.00,525.00,764.06
KUNDAH-III HPS.,,,180.00,335.00,26.00,36.62,KUNDAH-III HPS.,,,180.00,335.00,28.00,32.82,KUNDAH-III HPS.,,,180.00,335.00,37.00,35.60,KUNDAH-III HPS.,,,180.00,335.00,29.00,34.32,KUNDAH-III HPS.,,,180.00,335.00,28.00,39.34,KUNDAH-III HPS.,,,180.00,335.00,31.00,33.18,KUNDAH-III HPS.,,,180.00,335.00,24.00,35.84,KUNDAH-III HPS.,,,180.00,335.00,34.00,42.62,KUNDAH-III HPS.,,,180.00,335.00,29.00,35.76,KUNDAH-III HPS.,,,180.00,335.00,29.00,36.98,KUNDAH-III HPS.,,,180.00,335.00,33.00,44.02,KUNDAH-III HPS.,,,180.00,335.00,27.00,42.37,,2160.00,4020.00,355.00,449.47
KUNDAH-IV HPS.,,,100.00,107.00,5.00,6.91,KUNDAH-IV HPS.,,,100.00,107.00,4.00,4.53,KUNDAH-IV HPS.,,,100.00,107.00,4.00,7.10,KUNDAH-IV HPS.,,,100.00,140.00,10.00,3.61,KUNDAH-IV HPS.,,,100.00,140.00,12.00,4.23,KUNDAH-IV HPS.,,,100.00,140.00,13.00,6.31,KUNDAH-IV HPS.,,,100.00,140.00,9.00,12.18,KUNDAH-IV HPS.,,,100.00,140.00,13.00,32.05,KUNDAH-IV HPS.,,,100.00,140.00,14.00,25.16,KUNDAH-IV HPS.,,,100.00,140.00,15.00,13.74,KUNDAH-IV HPS.,,,100.00,140.00,12.00,12.31,KUNDAH-IV HPS.,,,100.00,140.00,11.00,8.05,,1200.00,1581.00,122.00,136.18
KUNDAH-V HPS.,,,40.00,50.00,2.00,14.97,KUNDAH-V HPS.,,,40.00,50.00,3.00,20.21,KUNDAH-V HPS.,,,40.00,50.00,4.00,2.44,KUNDAH-V HPS.,,,40.00,40.00,3.00,0.00,KUNDAH-V HPS.,,,40.00,40.00,3.00,0.00,KUNDAH-V HPS.,,,40.00,40.00,3.00,0.00,KUNDAH-V HPS.,,,40.00,40.00,5.00,0.00,KUNDAH-V HPS.,,,40.00,40.00,4.00,5.95,KUNDAH-V HPS.,,,40.00,40.00,4.00,7.83,KUNDAH-V HPS.,,,40.00,40.00,4.00,12.05,KUNDAH-V HPS.,,,40.00,40.00,4.00,9.92,KUNDAH-V HPS.,,,40.00,40.00,2.00,16.71,,480.00,510.00,41.00,90.08
