JAN 2020,,,,,,,FEB 2020,,,,,,,MAR 2020,,,,,,,APR 2020,,,,,,,MAY 2020,,,,,,,JUN 2020,,,,,,,JUL 2020,,,,,,,AUG 2020,,,,,,,SEP 2020,,,,,,,OCT 2020,,,,,,,NOV 2020,,,,,,,DEC 2020,,,,,,,,,,,
PVT SECTOR,THERMAL,,3161.70,11330.00,1016.00,1184.54,PVT SECTOR,THERMAL,,3161.70,11330.00,939.00,1083.62,PVT SECTOR,THERMAL,,3161.70,11330.00,994.00,1338.62,PVT SECTOR,THERMAL,,3161.70,11794.00,1210.00,995.92,PVT SECTOR,THERMAL,,3161.70,11794.00,1254.00,1103.15,PVT SECTOR,THERMAL,,3161.70,11794.00,1024.00,476.99,PVT SECTOR,THERMAL,,3161.70,11794.00,799.00,642.40,PVT SECTOR,THERMAL,,3161.70,11794.00,582.00,516.12,PVT SECTOR,THERMAL,,3161.70,11794.00,1054.00,381.99,PVT SECTOR,THERMAL,,3161.70,11794.00,1013.00,517.29,PVT SECTOR,THERMAL,,3161.70,11794.00,1005.00,596.22,PVT SECTOR,THERMAL,,3161.70,11794.00,817.00,560.74,,37940.41,140136.00,11707.00,9397.60
KARUPPUR CCPP,,,119.80,550.00,45.00,51.04,KARUPPUR CCPP,,,119.80,550.00,43.00,38.35,KARUPPUR CCPP,,,119.80,550.00,46.00,66.32,KARUPPUR CCPP,,,119.80,550.00,47.00,57.51,KARUPPUR CCPP,,,119.80,550.00,49.00,44.21,KARUPPUR CCPP,,,119.80,550.00,24.00,39.79,KARUPPUR CCPP,,,119.80,550.00,49.00,40.20,KARUPPUR CCPP,,,119.80,550.00,49.00,0.00,KARUPPUR CCPP,,,119.80,550.00,47.00,0.00,KARUPPUR CCPP,,,119.80,550.00,49.00,0.00,KARUPPUR CCPP,,,119.80,550.00,47.00,0.00,KARUPPUR CCPP,,,119.80,550.00,49.00,0.00,,1437.60,6600.00,544.00,337.42
ABAN POWR,NATURAL GAS,,119.80,550.00,45.00,51.04,ABAN POWR,NATURAL GAS,,119.80,550.00,43.00,38.35,ABAN POWR,NATURAL GAS,,119.80,550.00,46.00,66.32,ABAN POWR,NATURAL GAS,,119.80,550.00,47.00,57.51,ABAN POWR,NATURAL GAS,,119.80,550.00,49.00,44.21,ABAN POWR,NATURAL GAS,,119.80,550.00,24.00,39.79,ABAN POWR,NATURAL GAS,,119.80,550.00,49.00,40.20,ABAN POWR,NATURAL GAS,,119.80,550.00,49.00,0.00,ABAN POWR,NATURAL GAS,,119.80,550.00,47.00,0.00,ABAN POWR,NATURAL GAS,,119.80,550.00,49.00,0.00,ABAN POWR,NATURAL GAS,,119.80,550.00,47.00,0.00,ABAN POWR,NATURAL GAS,,119.80,550.00,49.00,0.00,,1437.60,6600.00,544.00,337.42
VALANTARVY CCPP,,,52.80,340.00,29.00,25.56,VALANTARVY CCPP,,,52.80,340.00,28.00,26.61,VALANTARVY CCPP,,,52.80,340.00,29.00,27.42,VALANTARVY CCPP,,,52.80,340.00,31.00,30.81,VALANTARVY CCPP,,,52.80,340.00,32.00,30.63,VALANTARVY CCPP,,,52.80,340.00,31.00,20.82,VALANTARVY CCPP,,,52.80,340.00,32.00,0.00,VALANTARVY CCPP,,,52.80,340.00,32.00,0.00,VALANTARVY CCPP,,,52.80,340.00,31.00,5.32,VALANTARVY CCPP,,,52.80,340.00,32.00,19.55,VALANTARVY CCPP,,,52.80,340.00,31.00,30.00,VALANTARVY CCPP,,,52.80,340.00,30.00,31.05,,633.60,4080.00,368.00,247.77
PENNA,NATURAL GAS,,52.80,340.00,29.00,25.56,PENNA,NATURAL GAS,,52.80,340.00,28.00,26.61,PENNA,NATURAL GAS,,52.80,340.00,29.00,27.42,PENNA,NATURAL GAS,,52.80,340.00,31.00,30.81,PENNA,NATURAL GAS,,52.80,340.00,32.00,30.63,PENNA,NATURAL GAS,,52.80,340.00,31.00,20.82,PENNA,NATURAL GAS,,52.80,340.00,32.00,0.00,PENNA,NATURAL GAS,,52.80,340.00,32.00,0.00,PENNA,NATURAL GAS,,52.80,340.00,31.00,5.32,PENNA,NATURAL GAS,,52.80,340.00,32.00,19.55,PENNA,NATURAL GAS,,52.80,340.00,31.00,30.00,PENNA,NATURAL GAS,,52.80,340.00,30.00,31.05,,633.60,4080.00,368.00,247.77
P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,P.NALLUR CCPP,,,330.50,0.00,0.00,2.01,P.NALLUR CCPP,,,330.50,0.00,0.00,0.00,,3966.00,0.00,0.00,2.01
PPNPGCL,NATURAL GAS,,330.50,0.00,0.00,0.00,PPNPGCL,NATURAL GAS,,330.50,0.00,0.00,0.00,PPNPGCL,NATURAL GAS,,330.50,0.00,0.00,0.00,PPNPGCL,NATURAL GAS,,330.50,0.00,0.00,0.00,PPNPGCL,NATURAL GAS,,330.50,0.00,0.00,0.00,PPNPGCL,NATURAL GAS,,330.50,0.00,0.00,0.00,PPNPGCL,NATURAL GAS,,330.50,0.00,0.00,0.00,PPNPGCL,NATURAL GAS,,330.50,0.00,0.00,0.00,PPNPGCL,NATURAL GAS,,330.50,0.00,0.00,0.00,PPNPGCL,NATURAL GAS,,330.50,0.00,0.00,0.00,PPNPGCL,NATURAL GAS,,330.50,0.00,0.00,2.01,PPNPGCL,NATURAL GAS,,330.50,0.00,0.00,0.00,,3966.00,0.00,0.00,2.01
PVT SECTOR,NATURAL GAS,,503.10,890.00,74.00,76.60,PVT SECTOR,NATURAL GAS,,503.10,890.00,71.00,64.96,PVT SECTOR,NATURAL GAS,,503.10,890.00,75.00,93.74,PVT SECTOR,NATURAL GAS,,503.10,890.00,78.00,88.32,PVT SECTOR,NATURAL GAS,,503.10,890.00,81.00,74.84,PVT SECTOR,NATURAL GAS,,503.10,890.00,55.00,60.61,PVT SECTOR,NATURAL GAS,,503.10,890.00,81.00,40.20,PVT SECTOR,NATURAL GAS,,503.10,890.00,81.00,0.00,PVT SECTOR,NATURAL GAS,,503.10,890.00,78.00,5.32,PVT SECTOR,NATURAL GAS,,503.10,890.00,81.00,19.55,PVT SECTOR,NATURAL GAS,,503.10,890.00,78.00,32.01,PVT SECTOR,NATURAL GAS,,503.10,890.00,79.00,31.05,,6037.20,10680.00,912.00,587.20
CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,,0.00,0.00,0.00,0.00
NEYVELI ( EXT) TPS,,,420.00,2952.00,272.00,296.84,NEYVELI ( EXT) TPS,,,420.00,2952.00,254.00,288.49,NEYVELI ( EXT) TPS,,,420.00,2952.00,272.00,302.21,NEYVELI ( EXT) TPS,,,420.00,2952.00,290.00,282.51,NEYVELI ( EXT) TPS,,,420.00,2952.00,156.00,283.86,NEYVELI ( EXT) TPS,,,420.00,2952.00,206.00,280.36,NEYVELI ( EXT) TPS,,,420.00,2952.00,216.00,309.37,NEYVELI ( EXT) TPS,,,420.00,2952.00,262.00,297.71,NEYVELI ( EXT) TPS,,,420.00,2952.00,252.00,151.68,NEYVELI ( EXT) TPS,,,420.00,2952.00,244.00,201.98,NEYVELI ( EXT) TPS,,,420.00,2952.00,240.00,147.31,NEYVELI ( EXT) TPS,,,420.00,2952.00,262.00,220.56,,5040.00,35424.00,2926.00,3062.88
NEYVELI NEW TPP,,,500.00,954.00,73.00,151.94,NEYVELI NEW TPP,,,500.00,954.00,87.00,227.72,NEYVELI NEW TPP,,,500.00,954.00,80.00,163.36,NEYVELI NEW TPP,,,500.00,4000.00,388.00,243.13,NEYVELI NEW TPP,,,500.00,4000.00,402.00,305.33,NEYVELI NEW TPP,,,500.00,4000.00,386.00,232.43,NEYVELI NEW TPP,,,500.00,4000.00,366.00,314.92,NEYVELI NEW TPP,,,500.00,4000.00,350.00,116.94,NEYVELI NEW TPP,,,500.00,4000.00,338.00,274.49,NEYVELI NEW TPP,,,500.00,4000.00,324.00,300.34,NEYVELI NEW TPP,,,500.00,4000.00,183.00,290.54,NEYVELI NEW TPP,,,500.00,4000.00,202.00,212.13,,6000.00,38862.00,3179.00,2833.27
NEYVELI TPS- I,,,500.00,1403.00,0.00,209.73,NEYVELI TPS- I,,,500.00,1403.00,0.00,190.49,NEYVELI TPS- I,,,500.00,1403.00,0.00,211.39,NEYVELI TPS- I,,,350.00,0.00,0.00,159.04,NEYVELI TPS- I,,,350.00,0.00,0.00,133.38,NEYVELI TPS- I,,,350.00,0.00,0.00,91.18,NEYVELI TPS- I,,,350.00,0.00,0.00,61.26,NEYVELI TPS- I,,,100.00,0.00,0.00,46.71,NEYVELI TPS- I,,,100.00,0.00,0.00,39.57,NEYVELI TPS- I,,,0.00,0.00,0.00,0.50,NEYVELI TPS- I,,,0.00,0.00,0.00,0.00,NEYVELI TPS- I,,,0.00,0.00,0.00,0.00,,3100.00,4209.00,0.00,1143.25
NEYVELI TPS-II,,,1470.00,9684.00,899.00,936.09,NEYVELI TPS-II,,,1470.00,9684.00,843.00,834.41,NEYVELI TPS-II,,,1470.00,9684.00,900.00,976.00,NEYVELI TPS-II,,,1470.00,9684.00,925.00,779.74,NEYVELI TPS-II,,,1470.00,9684.00,914.00,696.18,NEYVELI TPS-II,,,1470.00,9684.00,816.00,779.86,NEYVELI TPS-II,,,1470.00,9684.00,794.00,194.80,NEYVELI TPS-II,,,1470.00,9684.00,712.00,226.59,NEYVELI TPS-II,,,1470.00,9684.00,695.00,380.94,NEYVELI TPS-II,,,1470.00,9684.00,753.00,343.72,NEYVELI TPS-II,,,1470.00,9684.00,766.00,682.97,NEYVELI TPS-II,,,1470.00,9684.00,755.00,573.56,,17640.00,116208.00,9772.00,7404.86
NEYVELI TPS-II EXP,,,500.00,3285.00,315.00,82.10,NEYVELI TPS-II EXP,,,500.00,3285.00,295.00,174.38,NEYVELI TPS-II EXP,,,500.00,3285.00,318.00,94.12,NEYVELI TPS-II EXP,,,500.00,2850.00,292.00,168.78,NEYVELI TPS-II EXP,,,500.00,2850.00,303.00,143.25,NEYVELI TPS-II EXP,,,500.00,2850.00,290.00,187.23,NEYVELI TPS-II EXP,,,500.00,2850.00,136.00,61.90,NEYVELI TPS-II EXP,,,500.00,2850.00,265.00,200.43,NEYVELI TPS-II EXP,,,500.00,2850.00,255.00,218.77,NEYVELI TPS-II EXP,,,500.00,2850.00,245.00,218.84,NEYVELI TPS-II EXP,,,500.00,2850.00,243.00,146.68,NEYVELI TPS-II EXP,,,500.00,2850.00,263.00,174.65,,6000.00,35505.00,3220.00,1871.13
NLC,COAL,,3390.00,18278.00,1559.00,1676.70,NLC,COAL,,3390.00,18278.00,1479.00,1715.49,NLC,COAL,,3390.00,18278.00,1570.00,1747.08,NLC,COAL,,3240.00,19486.00,1895.00,1633.20,NLC,COAL,,3240.00,19486.00,1775.00,1562.00,NLC,COAL,,3240.00,19486.00,1698.00,1571.06,NLC,COAL,,3240.00,19486.00,1512.00,942.25,NLC,COAL,,2990.00,19486.00,1589.00,888.38,NLC,COAL,,2990.00,19486.00,1540.00,1065.45,NLC,COAL,,2890.00,19486.00,1566.00,1065.38,NLC,COAL,,2890.00,19486.00,1432.00,1267.50,NLC,COAL,,2890.00,19486.00,1482.00,1180.90,,37780.00,230208.00,19097.00,16315.39
VALLUR TPP,,,1500.00,8000.00,729.00,525.77,VALLUR TPP,,,1500.00,8000.00,665.00,522.66,VALLUR TPP,,,1500.00,8000.00,723.00,522.13,VALLUR TPP,,,1500.00,7950.00,759.00,157.50,VALLUR TPP,,,1500.00,7950.00,785.00,210.57,VALLUR TPP,,,1500.00,7950.00,658.00,157.02,VALLUR TPP,,,1500.00,7950.00,468.00,173.23,VALLUR TPP,,,1500.00,7950.00,589.00,236.68,VALLUR TPP,,,1500.00,7950.00,661.00,70.28,VALLUR TPP,,,1500.00,7950.00,600.00,384.55,VALLUR TPP,,,1500.00,7950.00,630.00,525.81,VALLUR TPP,,,1500.00,7950.00,681.00,420.49,,18000.00,95550.00,7948.00,3906.69
NTECL,COAL,,1500.00,8000.00,729.00,525.77,NTECL,COAL,,1500.00,8000.00,665.00,522.66,NTECL,COAL,,1500.00,8000.00,723.00,522.13,NTECL,COAL,,1500.00,7950.00,759.00,157.50,NTECL,COAL,,1500.00,7950.00,785.00,210.57,NTECL,COAL,,1500.00,7950.00,658.00,157.02,NTECL,COAL,,1500.00,7950.00,468.00,173.23,NTECL,COAL,,1500.00,7950.00,589.00,236.68,NTECL,COAL,,1500.00,7950.00,661.00,70.28,NTECL,COAL,,1500.00,7950.00,600.00,384.55,NTECL,COAL,,1500.00,7950.00,630.00,525.81,NTECL,COAL,,1500.00,7950.00,681.00,420.49,,18000.00,95550.00,7948.00,3906.69
TUTICORIN (JV) TPP,,,1000.00,6200.00,557.00,587.10,TUTICORIN (JV) TPP,,,1000.00,6200.00,511.00,532.06,TUTICORIN (JV) TPP,,,1000.00,6200.00,545.00,520.92,TUTICORIN (JV) TPP,,,1000.00,6100.00,595.00,462.94,TUTICORIN (JV) TPP,,,1000.00,6100.00,615.00,363.52,TUTICORIN (JV) TPP,,,1000.00,6100.00,591.00,486.48,TUTICORIN (JV) TPP,,,1000.00,6100.00,417.00,485.26,TUTICORIN (JV) TPP,,,1000.00,6100.00,503.00,395.30,TUTICORIN (JV) TPP,,,1000.00,6100.00,327.00,417.08,TUTICORIN (JV) TPP,,,1000.00,6100.00,392.00,514.43,TUTICORIN (JV) TPP,,,1000.00,6100.00,493.00,475.72,TUTICORIN (JV) TPP,,,1000.00,6100.00,534.00,261.11,,12000.00,73500.00,6080.00,5501.92
NTPL,COAL,,1000.00,6200.00,557.00,587.10,NTPL,COAL,,1000.00,6200.00,511.00,532.06,NTPL,COAL,,1000.00,6200.00,545.00,520.92,NTPL,COAL,,1000.00,6100.00,595.00,462.94,NTPL,COAL,,1000.00,6100.00,615.00,363.52,NTPL,COAL,,1000.00,6100.00,591.00,486.48,NTPL,COAL,,1000.00,6100.00,417.00,485.26,NTPL,COAL,,1000.00,6100.00,503.00,395.30,NTPL,COAL,,1000.00,6100.00,327.00,417.08,NTPL,COAL,,1000.00,6100.00,392.00,514.43,NTPL,COAL,,1000.00,6100.00,493.00,475.72,NTPL,COAL,,1000.00,6100.00,534.00,261.11,,12000.00,73500.00,6080.00,5501.92
CENTRAL ,THERMAL,,5890.00,32478.00,2845.00,2789.57,CENTRAL ,THERMAL,,5890.00,32478.00,2655.00,2770.21,CENTRAL ,THERMAL,,5890.00,32478.00,2838.00,2790.13,CENTRAL ,THERMAL,,5740.00,33536.00,3249.00,2253.64,CENTRAL ,THERMAL,,5740.00,33536.00,3175.00,2136.09,CENTRAL ,THERMAL,,5740.00,33536.00,2947.00,2214.56,CENTRAL ,THERMAL,,5740.00,33536.00,2397.00,1600.74,CENTRAL ,THERMAL,,5490.00,33536.00,2681.00,1520.36,CENTRAL ,THERMAL,,5490.00,33536.00,2528.00,1552.81,CENTRAL ,THERMAL,,5390.00,33536.00,2558.00,1964.36,CENTRAL ,THERMAL,,5390.00,33536.00,2555.00,2269.03,CENTRAL ,THERMAL,,5390.00,33536.00,2697.00,1862.50,,67780.00,399258.00,33125.00,25724.00
KUDANKULAM,,,2000.00,12438.00,1264.00,663.49,KUDANKULAM,,,2000.00,12438.00,1182.00,532.69,KUDANKULAM,,,2000.00,12438.00,1264.00,1083.06,KUDANKULAM,,,2000.00,10710.00,540.00,1066.04,KUDANKULAM,,,2000.00,10710.00,558.00,871.31,KUDANKULAM,,,2000.00,10710.00,810.00,730.66,KUDANKULAM,,,2000.00,10710.00,1116.00,498.43,KUDANKULAM,,,2000.00,10710.00,1116.00,807.49,KUDANKULAM,,,2000.00,10710.00,1080.00,1401.55,KUDANKULAM,,,2000.00,10710.00,1116.00,1479.97,KUDANKULAM,,,2000.00,10710.00,1080.00,1288.63,KUDANKULAM,,,2000.00,10710.00,1116.00,1331.32,,24000.00,133704.00,12242.00,11754.64
MADRAS  A.P.S.,,,440.00,3094.00,260.00,131.71,MADRAS  A.P.S.,,,440.00,3094.00,246.00,157.73,MADRAS  A.P.S.,,,440.00,3094.00,262.00,164.11,MADRAS  A.P.S.,,,440.00,2694.00,237.00,152.50,MADRAS  A.P.S.,,,440.00,2694.00,245.00,152.08,MADRAS  A.P.S.,,,440.00,2694.00,237.00,156.05,MADRAS  A.P.S.,,,440.00,2694.00,245.00,150.98,MADRAS  A.P.S.,,,440.00,2694.00,245.00,168.02,MADRAS  A.P.S.,,,440.00,2694.00,237.00,161.33,MADRAS  A.P.S.,,,440.00,2694.00,245.00,144.62,MADRAS  A.P.S.,,,440.00,2694.00,237.00,69.09,MADRAS  A.P.S.,,,440.00,2694.00,245.00,159.52,,5280.00,33528.00,2941.00,1767.74
NPCIL,NUCLEAR,,2440.00,15532.00,1524.00,795.20,NPCIL,NUCLEAR,,2440.00,15532.00,1428.00,690.42,NPCIL,NUCLEAR,,2440.00,15532.00,1526.00,1247.17,NPCIL,NUCLEAR,,2440.00,13404.00,777.00,1218.54,NPCIL,NUCLEAR,,2440.00,13404.00,803.00,1023.39,NPCIL,NUCLEAR,,2440.00,13404.00,1047.00,886.71,NPCIL,NUCLEAR,,2440.00,13404.00,1361.00,649.41,NPCIL,NUCLEAR,,2440.00,13404.00,1361.00,975.51,NPCIL,NUCLEAR,,2440.00,13404.00,1317.00,1562.88,NPCIL,NUCLEAR,,2440.00,13404.00,1361.00,1624.59,NPCIL,NUCLEAR,,2440.00,13404.00,1317.00,1357.72,NPCIL,NUCLEAR,,2440.00,13404.00,1361.00,1490.84,,29280.00,167232.00,15183.00,13522.38
CENTRAL ,NUCLEAR,,2440.00,15532.00,1524.00,795.20,CENTRAL ,NUCLEAR,,2440.00,15532.00,1428.00,690.42,CENTRAL ,NUCLEAR,,2440.00,15532.00,1526.00,1247.17,CENTRAL ,NUCLEAR,,2440.00,13404.00,777.00,1218.54,CENTRAL ,NUCLEAR,,2440.00,13404.00,803.00,1023.39,CENTRAL ,NUCLEAR,,2440.00,13404.00,1047.00,886.71,CENTRAL ,NUCLEAR,,2440.00,13404.00,1361.00,649.41,CENTRAL ,NUCLEAR,,2440.00,13404.00,1361.00,975.51,CENTRAL ,NUCLEAR,,2440.00,13404.00,1317.00,1562.88,CENTRAL ,NUCLEAR,,2440.00,13404.00,1361.00,1624.59,CENTRAL ,NUCLEAR,,2440.00,13404.00,1317.00,1357.72,CENTRAL ,NUCLEAR,,2440.00,13404.00,1361.00,1490.84,,29280.00,167232.00,15183.00,13522.38
TOTAL                  THERMAL,,,13371.70,69408.00,6141.00,5502.36,TOTAL                  THERMAL,,,13371.70,69408.00,5719.00,5884.78,TOTAL                  THERMAL,,,13371.70,69408.00,6109.00,5871.84,TOTAL                  THERMAL,,,13221.70,71430.00,6926.00,3784.94,TOTAL                  THERMAL,,,13221.70,71430.00,6984.00,4953.45,TOTAL                  THERMAL,,,13221.70,71430.00,6367.00,4447.80,TOTAL                  THERMAL,,,13221.70,71430.00,5110.00,3927.59,TOTAL                  THERMAL,,,12971.70,71430.00,5048.00,3451.64,TOTAL                  THERMAL,,,12971.70,71430.00,5158.00,2881.51,TOTAL                  THERMAL,,,12871.70,71430.00,5844.00,3436.13,TOTAL                  THERMAL,,,12871.70,71430.00,5553.00,3843.43,TOTAL                  THERMAL,,,12871.70,71430.00,5615.00,3580.72,,157560.41,851094.00,70574.00,51566.19
TOTAL                  NUCLEAR,,,2440.00,15532.00,1524.00,795.20,TOTAL                  NUCLEAR,,,2440.00,15532.00,1428.00,690.42,TOTAL                  NUCLEAR,,,2440.00,15532.00,1526.00,1247.17,TOTAL                  NUCLEAR,,,2440.00,13404.00,777.00,1218.54,TOTAL                  NUCLEAR,,,2440.00,13404.00,803.00,1023.39,TOTAL                  NUCLEAR,,,2440.00,13404.00,1047.00,886.71,TOTAL                  NUCLEAR,,,2440.00,13404.00,1361.00,649.41,TOTAL                  NUCLEAR,,,2440.00,13404.00,1361.00,975.51,TOTAL                  NUCLEAR,,,2440.00,13404.00,1317.00,1562.88,TOTAL                  NUCLEAR,,,2440.00,13404.00,1361.00,1624.59,TOTAL                  NUCLEAR,,,2440.00,13404.00,1317.00,1357.72,TOTAL                  NUCLEAR,,,2440.00,13404.00,1361.00,1490.84,,29280.00,167232.00,15183.00,13522.38
TOTAL                  NATURAL GAS,,,1017.18,2484.00,210.00,258.63,TOTAL                  NATURAL GAS,,,1017.18,2484.00,202.00,271.26,TOTAL                  NATURAL GAS,,,1017.18,2484.00,216.00,252.83,TOTAL                  NATURAL GAS,,,1017.18,2484.00,216.00,275.10,TOTAL                  NATURAL GAS,,,1017.18,2484.00,222.00,299.35,TOTAL                  NATURAL GAS,,,1017.18,2484.00,193.00,223.68,TOTAL                  NATURAL GAS,,,1017.18,2484.00,175.00,193.87,TOTAL                  NATURAL GAS,,,1017.18,2484.00,206.00,178.68,TOTAL                  NATURAL GAS,,,1017.18,2484.00,216.00,201.21,TOTAL                  NATURAL GAS,,,1017.18,2484.00,215.00,214.20,TOTAL                  NATURAL GAS,,,1017.18,2484.00,208.00,195.99,TOTAL                  NATURAL GAS,,,1017.18,2484.00,214.00,136.44,,12206.16,29808.00,2493.00,2701.24
TOTAL                  HYDRO,,,2178.20,3890.00,320.00,513.08,TOTAL                  HYDRO,,,2178.20,3890.00,249.00,291.15,TOTAL                  HYDRO,,,2178.20,3890.00,257.00,295.28,TOTAL                  HYDRO,,,2178.20,4040.00,185.00,248.46,TOTAL                  HYDRO,,,2178.20,4040.00,185.00,276.84,TOTAL                  HYDRO,,,2178.20,4040.00,230.00,305.53,TOTAL                  HYDRO,,,2178.20,4040.00,326.00,444.80,TOTAL                  HYDRO,,,2178.20,4040.00,449.00,694.30,TOTAL                  HYDRO,,,2178.20,4040.00,562.00,604.21,TOTAL                  HYDRO,,,2178.20,4040.00,514.00,604.54,TOTAL                  HYDRO,,,2178.20,4040.00,391.00,559.61,TOTAL                  HYDRO,,,2178.20,4040.00,441.00,506.27,,26138.40,48030.00,4109.00,5344.07
TOTAL  TAMIL NADU,,,19007.08,91314.00,8195.00,7069.27,TOTAL  TAMIL NADU,,,19007.08,91314.00,7598.00,7137.61,TOTAL  TAMIL NADU,,,19007.08,91314.00,8108.00,7667.12,TOTAL  TAMIL NADU,,,18857.08,91358.00,8104.00,5527.04,TOTAL  TAMIL NADU,,,18857.08,91358.00,8194.00,6553.03,TOTAL  TAMIL NADU,,,18857.08,91358.00,7837.00,5863.72,TOTAL  TAMIL NADU,,,18857.08,91358.00,6972.00,5215.67,TOTAL  TAMIL NADU,,,18607.08,91358.00,7064.00,5300.13,TOTAL  TAMIL NADU,,,18607.08,91358.00,7253.00,5249.81,TOTAL  TAMIL NADU,,,18507.08,91358.00,7934.00,5879.46,TOTAL  TAMIL NADU,,,18507.08,91358.00,7469.00,5956.75,TOTAL  TAMIL NADU,,,18507.08,91358.00,7631.00,5714.27,,225184.97,1096164.00,92359.00,73133.88
