,Type,Name,variable,value,Year
312,Hydro,Bhavani Sagar Micro Hydel,Net Generation of 2016(M.U),30.01,2016
313,Hydro,Poonachi Micro,Net Generation of 2016(M.U),3.2,2016
314,Hydro,Sathanur Micro,Net Generation of 2016(M.U),10.7,2016
315,Hydro,Mukurthy Micro,Net Generation of 2016(M.U),0.29,2016
316,Hydro,Thirumoorthy Micro,Net Generation of 2016(M.U),1.16,2016
317,Hydro,Lower Aliyar,Net Generation of 2016(M.U),8.01,2016
318,Hydro,Amaravathy,Net Generation of 2016(M.U),4.84,2016
319,Hydro,Perunchani,Net Generation of 2016(M.U),1.25,2016
320,Hydro,Periyar,Net Generation of 2016(M.U),503.08,2016
321,Hydro,Vaigai Micro Hydel,Net Generation of 2016(M.U),17.93,2016
322,Hydro,Suruliyar,Net Generation of 2016(M.U),92.04,2016
323,Hydro,Papanasam,Net Generation of 2016(M.U),115.74,2016
324,Hydro,Servalar,Net Generation of 2016(M.U),38.92,2016
325,Hydro,Sarkarpathy,Net Generation of 2016(M.U),79.11,2016
326,Hydro,Aliyar,Net Generation of 2016(M.U),152.41,2016
327,Hydro,Kadamparai,Net Generation of 2016(M.U),411.06,2016
328,Hydro,Sholayar-1,Net Generation of 2016(M.U),206.63,2016
329,Hydro,Sholayar-2,Net Generation of 2016(M.U),56.56,2016
330,Hydro,Kodayar-1,Net Generation of 2016(M.U),192.27,2016
331,Hydro,Kodayar-2,Net Generation of 2016(M.U),85.55,2016
332,Thermal,Ennore TPS,Net Generation of 2016(M.U),347.36,2016
333,Thermal,North Chennai TPS,Net Generation of 2016(M.U),4046.39,2016
334,Thermal,Tuticorin TPS,Net Generation of 2016(M.U),6501.37,2016
335,Thermal,Mettur TPS,Net Generation of 2016(M.U),5471.33,2016
336,Gas,Basin Bridge,Net Generation of 2017(M.U),10.47,2017
337,Gas,Kovil Kalappal,Net Generation of 2017(M.U),308.97,2017
338,Gas,Vazhuthur,Net Generation of 2017(M.U),647.25,2017
339,Gas,Vazhuthur phase II,Net Generation of 2017(M.U),259.74,2017
340,Gas,Kuttalam,Net Generation of 2017(M.U),336.24,2017
341,Hydro,Pykara,Net Generation of 2017(M.U),12.5,2017
342,Hydro,Pykara Micro Hydel,Net Generation of 2017(M.U),3.3,2017
343,Hydro,PUSHEP,Net Generation of 2017(M.U),191.75,2017
344,Hydro,Moyar,Net Generation of 2017(M.U),48.97,2017
345,Hydro,Maravakandi Micro Hydel,Net Generation of 2017(M.U),0.32,2017
346,Hydro,Parsons valley,Net Generation of 2017(M.U),23.99,2017
347,Hydro,Kundah - 1,Net Generation of 2017(M.U),156.81,2017
348,Hydro,Kundah - 2,Net Generation of 2017(M.U),406.08,2017
349,Hydro,Kundah - 3,Net Generation of 2017(M.U),213.42,2017
350,Hydro,Kundah - 4,Net Generation of 2017(M.U),47.17,2017
351,Hydro,Kundah - 5,Net Generation of 2017(M.U),43.22,2017
352,Hydro,Mettur Dam,Net Generation of 2017(M.U),44.16,2017
353,Hydro,Mettur Tunnel,Net Generation of 2017(M.U),80.35,2017
354,Hydro,LMHEP-Barrage-1,Net Generation of 2017(M.U),21.87,2017
355,Hydro,LMHEP-Barrage-2,Net Generation of 2017(M.U),23.59,2017
356,Hydro,LMHEP-Barrage-3,Net Generation of 2017(M.U),25.12,2017
357,Hydro,LMHEP-Barrage-4,Net Generation of 2017(M.U),19.49,2017
358,Hydro,Bhavani Kattalai PH-1,Net Generation of 2017(M.U),58.47,2017
359,Hydro,Bhavanisagar RBC,Net Generation of 2017(M.U),0.0,2017
360,Hydro,Bhavani Sagar Micro Hydel,Net Generation of 2017(M.U),18.19,2017
361,Hydro,Poonachi Micro,Net Generation of 2017(M.U),1.72,2017
362,Hydro,Sathanur Micro,Net Generation of 2017(M.U),0.41,2017
363,Hydro,Mukurthy Micro,Net Generation of 2017(M.U),0.26,2017
364,Hydro,Thirumoorthy Micro,Net Generation of 2017(M.U),1.36,2017
365,Hydro,Lower Aliyar,Net Generation of 2017(M.U),0.01,2017
366,Hydro,Amaravathy,Net Generation of 2017(M.U),0.77,2017
367,Hydro,Perunchani,Net Generation of 2017(M.U),0.01,2017
368,Hydro,Periyar,Net Generation of 2017(M.U),93.09,2017
369,Hydro,Vaigai Micro Hydel,Net Generation of 2017(M.U),1.65,2017
370,Hydro,Suruliyar,Net Generation of 2017(M.U),41.92,2017
371,Hydro,Papanasam,Net Generation of 2017(M.U),65.71,2017
372,Hydro,Servalar,Net Generation of 2017(M.U),11.86,2017
373,Hydro,Sarkarpathy,Net Generation of 2017(M.U),63.19,2017
374,Hydro,Aliyar,Net Generation of 2017(M.U),61.22,2017
375,Hydro,Kadamparai,Net Generation of 2017(M.U),286.74,2017
376,Hydro,Sholayar-1,Net Generation of 2017(M.U),183.81,2017
377,Hydro,Sholayar-2,Net Generation of 2017(M.U),42.58,2017
378,Hydro,Kodayar-1,Net Generation of 2017(M.U),126.8,2017
379,Hydro,Kodayar-2,Net Generation of 2017(M.U),42.01,2017
380,Thermal,Ennore TPS,Net Generation of 2017(M.U),144.16,2017
381,Thermal,North Chennai TPS,Net Generation of 2017(M.U),3365.75,2017
382,Thermal,Tuticorin TPS,Net Generation of 2017(M.U),5089.66,2017
383,Thermal,Mettur TPS,Net Generation of 2017(M.U),5239.7,2017
384,Gas,Basin Bridge,Net Generation of 2018(M.U),5.22,2018
385,Gas,Kovil Kalappal,Net Generation of 2018(M.U),265.65,2018
386,Gas,Vazhuthur,Net Generation of 2018(M.U),636.07,2018
387,Gas,Vazhuthur phase II,Net Generation of 2018(M.U),564.32,2018
388,Gas,Kuttalam,Net Generation of 2018(M.U),305.22,2018
389,Hydro,Pykara,Net Generation of 2018(M.U),0.8,2018
390,Hydro,Pykara Micro Hydel,Net Generation of 2018(M.U),4.73,2018
391,Hydro,PUSHEP,Net Generation of 2018(M.U),272.01,2018
392,Hydro,Moyar,Net Generation of 2018(M.U),93.87,2018
393,Hydro,Maravakandi Micro Hydel,Net Generation of 2018(M.U),0.76,2018
394,Hydro,Parsons valley,Net Generation of 2018(M.U),26.95,2018
395,Hydro,Kundah - 1,Net Generation of 2018(M.U),124.82,2018
396,Hydro,Kundah - 2,Net Generation of 2018(M.U),373.8,2018
397,Hydro,Kundah - 3,Net Generation of 2018(M.U),182.25,2018
398,Hydro,Kundah - 4,Net Generation of 2018(M.U),76.17,2018
399,Hydro,Kundah - 5,Net Generation of 2018(M.U),45.83,2018
400,Hydro,Mettur Dam,Net Generation of 2018(M.U),50.39,2018
401,Hydro,Mettur Tunnel,Net Generation of 2018(M.U),162.82,2018
402,Hydro,LMHEP-Barrage-1,Net Generation of 2018(M.U),64.62,2018
403,Hydro,LMHEP-Barrage-2,Net Generation of 2018(M.U),60.21,2018
404,Hydro,LMHEP-Barrage-3,Net Generation of 2018(M.U),64.96,2018
405,Hydro,LMHEP-Barrage-4,Net Generation of 2018(M.U),53.41,2018
406,Hydro,Bhavani Kattalai PH-1,Net Generation of 2018(M.U),74.59,2018
407,Hydro,Bhavanisagar RBC,Net Generation of 2018(M.U),4.54,2018
408,Hydro,Bhavani Sagar Micro Hydel,Net Generation of 2018(M.U),14.86,2018
409,Hydro,Poonachi Micro,Net Generation of 2018(M.U),0.42,2018
410,Hydro,Sathanur Micro,Net Generation of 2018(M.U),13.15,2018
411,Hydro,Mukurthy Micro,Net Generation of 2018(M.U),0.76,2018
412,Hydro,Thirumoorthy Micro,Net Generation of 2018(M.U),1.78,2018
413,Hydro,Lower Aliyar,Net Generation of 2018(M.U),3.28,2018
414,Hydro,Amaravathy,Net Generation of 2018(M.U),4.8,2018
415,Hydro,Perunchani,Net Generation of 2018(M.U),0.12,2018
416,Hydro,Periyar,Net Generation of 2018(M.U),286.23,2018
417,Hydro,Vaigai Micro Hydel,Net Generation of 2018(M.U),6.58,2018
418,Hydro,Suruliyar,Net Generation of 2018(M.U),70.34,2018
419,Hydro,Papanasam,Net Generation of 2018(M.U),114.11,2018
420,Hydro,Servalar,Net Generation of 2018(M.U),26.41,2018
421,Hydro,Sarkarpathy,Net Generation of 2018(M.U),85.37,2018
422,Hydro,Aliyar,Net Generation of 2018(M.U),89.75,2018
423,Hydro,Kadamparai,Net Generation of 2018(M.U),381.3,2018
424,Hydro,Sholayar-1,Net Generation of 2018(M.U),101.24,2018
425,Hydro,Sholayar-2,Net Generation of 2018(M.U),60.43,2018
426,Hydro,Kodayar-1,Net Generation of 2018(M.U),82.11,2018
427,Hydro,Kodayar-2,Net Generation of 2018(M.U),50.2,2018
428,Thermal,Ennore TPS,Net Generation of 2018(M.U),0.0,2018
429,Thermal,North Chennai TPS,Net Generation of 2018(M.U),3824.14,2018
430,Thermal,Tuticorin TPS,Net Generation of 2018(M.U),4812.82,2018
431,Thermal,Mettur TPS,Net Generation of 2018(M.U),4666.67,2018
432,Gas,Basin Bridge,Net Generation of 2019(M.U),0.06,2019
433,Gas,Kovil Kalappal,Net Generation of 2019(M.U),225.46,2019
434,Gas,Vazhuthur,Net Generation of 2019(M.U),576.71,2019
435,Gas,Vazhuthur phase II,Net Generation of 2019(M.U),549.24,2019
436,Gas,Kuttalam,Net Generation of 2019(M.U),367.55,2019
437,Hydro,Pykara,Net Generation of 2019(M.U),21.79,2019
438,Hydro,Pykara Micro Hydel,Net Generation of 2019(M.U),8.35,2019
439,Hydro,PUSHEP,Net Generation of 2019(M.U),504.86,2019
440,Hydro,Moyar,Net Generation of 2019(M.U),161.49,2019
441,Hydro,Maravakandi Micro Hydel,Net Generation of 2019(M.U),0.85,2019
442,Hydro,Parsons valley,Net Generation of 2019(M.U),45.78,2019
443,Hydro,Kundah - 1,Net Generation of 2019(M.U),270.05,2019
444,Hydro,Kundah - 2,Net Generation of 2019(M.U),677.91,2019
445,Hydro,Kundah - 3,Net Generation of 2019(M.U),395.67,2019
446,Hydro,Kundah - 4,Net Generation of 2019(M.U),148.21,2019
447,Hydro,Kundah - 5,Net Generation of 2019(M.U),89.58,2019
448,Hydro,Mettur Dam,Net Generation of 2019(M.U),147.69,2019
449,Hydro,Mettur Tunnel,Net Generation of 2019(M.U),439.93,2019
450,Hydro,LMHEP-Barrage-1,Net Generation of 2019(M.U),68.68,2019
451,Hydro,LMHEP-Barrage-2,Net Generation of 2019(M.U),30.4,2019
452,Hydro,LMHEP-Barrage-3,Net Generation of 2019(M.U),64.42,2019
453,Hydro,LMHEP-Barrage-4,Net Generation of 2019(M.U),52.82,2019
454,Hydro,Bhavani Kattalai PH-1,Net Generation of 2019(M.U),69.05,2019
455,Hydro,Bhavanisagar RBC,Net Generation of 2019(M.U),18.71,2019
456,Hydro,Bhavani Sagar Micro Hydel,Net Generation of 2019(M.U),30.98,2019
457,Hydro,Poonachi Micro,Net Generation of 2019(M.U),3.12,2019
458,Hydro,Sathanur Micro,Net Generation of 2019(M.U),6.26,2019
459,Hydro,Mukurthy Micro,Net Generation of 2019(M.U),1.08,2019
460,Hydro,Thirumoorthy Micro,Net Generation of 2019(M.U),2.82,2019
461,Hydro,Lower Aliyar,Net Generation of 2019(M.U),5.92,2019
462,Hydro,Amaravathy,Net Generation of 2019(M.U),9.43,2019
463,Hydro,Perunchani,Net Generation of 2019(M.U),2.96,2019
464,Hydro,Periyar,Net Generation of 2019(M.U),701.21,2019
465,Hydro,Vaigai Micro Hydel,Net Generation of 2019(M.U),23.06,2019
466,Hydro,Suruliyar,Net Generation of 2019(M.U),92.27,2019
467,Hydro,Papanasam,Net Generation of 2019(M.U),120.6,2019
468,Hydro,Servalar,Net Generation of 2019(M.U),43.16,2019
469,Hydro,Sarkarpathy,Net Generation of 2019(M.U),129.57,2019
470,Hydro,Aliyar,Net Generation of 2019(M.U),48.29,2019
471,Hydro,Kadamparai,Net Generation of 2019(M.U),431.43,2019
472,Hydro,Sholayar-1,Net Generation of 2019(M.U),177.47,2019
473,Hydro,Sholayar-2,Net Generation of 2019(M.U),43.13,2019
474,Hydro,Kodayar-1,Net Generation of 2019(M.U),143.71,2019
475,Hydro,Kodayar-2,Net Generation of 2019(M.U),50.24,2019
476,Thermal,Ennore TPS,Net Generation of 2019(M.U),0.0,2019
477,Thermal,North Chennai TPS,Net Generation of 2019(M.U),3632.76,2019
478,Thermal,Tuticorin TPS,Net Generation of 2019(M.U),5807.85,2019
479,Thermal,Mettur TPS,Net Generation of 2019(M.U),5314.34,2019
480,Gas,Basin Bridge,Net Generation of 2020(M.U),22.89,2020
481,Gas,Kovil Kalappal,Net Generation of 2020(M.U),333.83,2020
482,Gas,Vazhuthur,Net Generation of 2020(M.U),576.26,2020
483,Gas,Vazhuthur phase II,Net Generation of 2020(M.U),333.63,2020
484,Gas,Kuttalam,Net Generation of 2020(M.U),477.75,2020
485,Hydro,Pykara,Net Generation of 2020(M.U),0.6,2020
486,Hydro,Pykara Micro Hydel,Net Generation of 2020(M.U),5.79,2020
487,Hydro,PUSHEP,Net Generation of 2020(M.U),347.68,2020
488,Hydro,Moyar,Net Generation of 2020(M.U),117.13,2020
489,Hydro,Maravakandi Micro Hydel,Net Generation of 2020(M.U),0.94,2020
490,Hydro,Parsons valley,Net Generation of 2020(M.U),36.53,2020
491,Hydro,Kundah - 1,Net Generation of 2020(M.U),302.63,2020
492,Hydro,Kundah - 2,Net Generation of 2020(M.U),763.3,2020
493,Hydro,Kundah - 3,Net Generation of 2020(M.U),447.75,2020
494,Hydro,Kundah - 4,Net Generation of 2020(M.U),136.03,2020
495,Hydro,Kundah - 5,Net Generation of 2020(M.U),89.86,2020
496,Hydro,Mettur Dam,Net Generation of 2020(M.U),131.96,2020
497,Hydro,Mettur Tunnel,Net Generation of 2020(M.U),376.86,2020
498,Hydro,LMHEP-Barrage-1,Net Generation of 2020(M.U),80.84,2020
499,Hydro,LMHEP-Barrage-2,Net Generation of 2020(M.U),81.31,2020
500,Hydro,LMHEP-Barrage-3,Net Generation of 2020(M.U),81.41,2020
501,Hydro,LMHEP-Barrage-4,Net Generation of 2020(M.U),68.57,2020
502,Hydro,Bhavani Kattalai PH-1,Net Generation of 2020(M.U),107.7,2020
503,Hydro,Bhavanisagar RBC,Net Generation of 2020(M.U),12.71,2020
504,Hydro,Bhavani Sagar Micro Hydel,Net Generation of 2020(M.U),27.65,2020
505,Hydro,Poonachi Micro,Net Generation of 2020(M.U),2.43,2020
506,Hydro,Sathanur Micro,Net Generation of 2020(M.U),7.87,2020
507,Hydro,Mukurthy Micro,Net Generation of 2020(M.U),1.08,2020
508,Hydro,Thirumoorthy Micro,Net Generation of 2020(M.U),2.4,2020
509,Hydro,Lower Aliyar,Net Generation of 2020(M.U),5.77,2020
510,Hydro,Amaravathy,Net Generation of 2020(M.U),5.95,2020
511,Hydro,Perunchani,Net Generation of 2020(M.U),1.32,2020
512,Hydro,Periyar,Net Generation of 2020(M.U),507.64,2020
513,Hydro,Vaigai Micro Hydel,Net Generation of 2020(M.U),12.67,2020
514,Hydro,Suruliyar,Net Generation of 2020(M.U),92.63,2020
515,Hydro,Papanasam,Net Generation of 2020(M.U),129.97,2020
516,Hydro,Servalar,Net Generation of 2020(M.U),27.74,2020
517,Hydro,Sarkarpathy,Net Generation of 2020(M.U),100.77,2020
518,Hydro,Aliyar,Net Generation of 2020(M.U),136.91,2020
519,Hydro,Kadamparai,Net Generation of 2020(M.U),427.95,2020
520,Hydro,Sholayar-1,Net Generation of 2020(M.U),209.18,2020
521,Hydro,Sholayar-2,Net Generation of 2020(M.U),55.06,2020
522,Hydro,Kodayar-1,Net Generation of 2020(M.U),164.08,2020
523,Hydro,Kodayar-2,Net Generation of 2020(M.U),75.04,2020
524,Thermal,Ennore TPS,Net Generation of 2020(M.U),0.0,2020
525,Thermal,North Chennai TPS,Net Generation of 2020(M.U),4040.57,2020
526,Thermal,Tuticorin TPS,Net Generation of 2020(M.U),4060.58,2020
527,Thermal,Mettur TPS,Net Generation of 2020(M.U),5509.12,2020
528,Gas,Basin Bridge,Net Generation of 2021(M.U),22.89,2021
529,Gas,Kovil Kalappal,Net Generation of 2021(M.U),156.44,2021
530,Gas,Vazhuthur,Net Generation of 2021(M.U),576.26,2021
531,Gas,Vazhuthur phase II,Net Generation of 2021(M.U),333.63,2021
532,Gas,Kuttalam,Net Generation of 2021(M.U),425.58,2021
533,Hydro,Pykara,Net Generation of 2021(M.U),32.9,2021
534,Hydro,Pykara Micro Hydel,Net Generation of 2021(M.U),5.79,2021
535,Hydro,PUSHEP,Net Generation of 2021(M.U),347.68,2021
536,Hydro,Moyar,Net Generation of 2021(M.U),156.9,2021
537,Hydro,Maravakandi Micro Hydel,Net Generation of 2021(M.U),0.94,2021
538,Hydro,Parsons valley,Net Generation of 2021(M.U),36.53,2021
539,Hydro,Kundah - 1,Net Generation of 2021(M.U),329.3,2021
540,Hydro,Kundah - 2,Net Generation of 2021(M.U),872.98,2021
541,Hydro,Kundah - 3,Net Generation of 2021(M.U),565.26,2021
542,Hydro,Kundah - 4,Net Generation of 2021(M.U),273.27,2021
543,Hydro,Kundah - 5,Net Generation of 2021(M.U),77.88,2021
544,Hydro,Mettur Dam,Net Generation of 2021(M.U),186.68,2021
545,Hydro,Mettur Tunnel,Net Generation of 2021(M.U),625.35,2021
546,Hydro,LMHEP-Barrage-1,Net Generation of 2021(M.U),117.37,2021
547,Hydro,LMHEP-Barrage-2,Net Generation of 2021(M.U),108.25,2021
548,Hydro,LMHEP-Barrage-3,Net Generation of 2021(M.U),116.02,2021
549,Hydro,LMHEP-Barrage-4,Net Generation of 2021(M.U),98.4,2021
550,Hydro,Bhavani Kattalai PH-1,Net Generation of 2021(M.U),125.32,2021
551,Hydro,Bhavanisagar RBC,Net Generation of 2021(M.U),12.71,2021
552,Hydro,Bhavani Sagar Micro Hydel,Net Generation of 2021(M.U),27.65,2021
553,Hydro,Poonachi Micro,Net Generation of 2021(M.U),2.43,2021
554,Hydro,Sathanur Micro,Net Generation of 2021(M.U),7.87,2021
555,Hydro,Mukurthy Micro,Net Generation of 2021(M.U),1.08,2021
556,Hydro,Thirumoorthy Micro,Net Generation of 2021(M.U),2.4,2021
557,Hydro,Lower Aliyar,Net Generation of 2021(M.U),5.77,2021
558,Hydro,Amaravathy,Net Generation of 2021(M.U),5.95,2021
559,Hydro,Perunchani,Net Generation of 2021(M.U),1.32,2021
560,Hydro,Periyar,Net Generation of 2021(M.U),1039.16,2021
561,Hydro,Vaigai Micro Hydel,Net Generation of 2021(M.U),12.67,2021
562,Hydro,Suruliyar,Net Generation of 2021(M.U),101.07,2021
563,Hydro,Papanasam,Net Generation of 2021(M.U),216.85,2021
564,Hydro,Servalar,Net Generation of 2021(M.U),27.74,2021
565,Hydro,Sarkarpathy,Net Generation of 2021(M.U),100.77,2021
566,Hydro,Aliyar,Net Generation of 2021(M.U),94.62,2021
567,Hydro,Kadamparai,Net Generation of 2021(M.U),444.61,2021
568,Hydro,Sholayar-1,Net Generation of 2021(M.U),209.18,2021
569,Hydro,Sholayar-2,Net Generation of 2021(M.U),55.06,2021
570,Hydro,Kodayar-1,Net Generation of 2021(M.U),140.66,2021
571,Hydro,Kodayar-2,Net Generation of 2021(M.U),91.33,2021
572,Thermal,Ennore TPS,Net Generation of 2021(M.U),0.0,2021
573,Thermal,North Chennai TPS,Net Generation of 2021(M.U),4040.57,2021
574,Thermal,Tuticorin TPS,Net Generation of 2021(M.U),6374.71,2021
575,Thermal,Mettur TPS,Net Generation of 2021(M.U),5509.12,2021
576,Gas,Basin Bridge,Net Generation of 2022(M.U),22.89,2022
577,Gas,Kovil Kalappal,Net Generation of 2022(M.U),20.78,2022
578,Gas,Vazhuthur,Net Generation of 2022(M.U),576.26,2022
579,Gas,Vazhuthur phase II,Net Generation of 2022(M.U),333.63,2022
580,Gas,Kuttalam,Net Generation of 2022(M.U),74.39,2022
581,Hydro,Pykara,Net Generation of 2022(M.U),0.7,2022
582,Hydro,Pykara Micro Hydel,Net Generation of 2022(M.U),5.79,2022
583,Hydro,PUSHEP,Net Generation of 2022(M.U),347.68,2022
584,Hydro,Moyar,Net Generation of 2022(M.U),35.35,2022
585,Hydro,Maravakandi Micro Hydel,Net Generation of 2022(M.U),0.94,2022
586,Hydro,Parsons valley,Net Generation of 2022(M.U),36.53,2022
587,Hydro,Kundah - 1,Net Generation of 2022(M.U),92.49,2022
588,Hydro,Kundah - 2,Net Generation of 2022(M.U),225.45,2022
589,Hydro,Kundah - 3,Net Generation of 2022(M.U),136.18,2022
590,Hydro,Kundah - 4,Net Generation of 2022(M.U),21.24,2022
591,Hydro,Kundah - 5,Net Generation of 2022(M.U),21.85,2022
592,Hydro,Mettur Dam,Net Generation of 2022(M.U),36.74,2022
593,Hydro,Mettur Tunnel,Net Generation of 2022(M.U),37.14,2022
594,Hydro,LMHEP-Barrage-1,Net Generation of 2022(M.U),12.54,2022
595,Hydro,LMHEP-Barrage-2,Net Generation of 2022(M.U),12.57,2022
596,Hydro,LMHEP-Barrage-3,Net Generation of 2022(M.U),11.1,2022
597,Hydro,LMHEP-Barrage-4,Net Generation of 2022(M.U),8.31,2022
598,Hydro,Bhavani Kattalai PH-1,Net Generation of 2022(M.U),9.4,2022
599,Hydro,Bhavanisagar RBC,Net Generation of 2022(M.U),12.71,2022
600,Hydro,Bhavani Sagar Micro Hydel,Net Generation of 2022(M.U),27.65,2022
601,Hydro,Poonachi Micro,Net Generation of 2022(M.U),2.43,2022
602,Hydro,Sathanur Micro,Net Generation of 2022(M.U),7.87,2022
603,Hydro,Mukurthy Micro,Net Generation of 2022(M.U),1.08,2022
604,Hydro,Thirumoorthy Micro,Net Generation of 2022(M.U),2.4,2022
605,Hydro,Lower Aliyar,Net Generation of 2022(M.U),5.77,2022
606,Hydro,Amaravathy,Net Generation of 2022(M.U),5.95,2022
607,Hydro,Perunchani,Net Generation of 2022(M.U),1.32,2022
608,Hydro,Periyar,Net Generation of 2022(M.U),121.48,2022
609,Hydro,Vaigai Micro Hydel,Net Generation of 2022(M.U),12.67,2022
610,Hydro,Suruliyar,Net Generation of 2022(M.U),85.09,2022
611,Hydro,Papanasam,Net Generation of 2022(M.U),40.48,2022
612,Hydro,Servalar,Net Generation of 2022(M.U),27.74,2022
613,Hydro,Sarkarpathy,Net Generation of 2022(M.U),100.77,2022
614,Hydro,Aliyar,Net Generation of 2022(M.U),30.5,2022
615,Hydro,Kadamparai,Net Generation of 2022(M.U),127.22,2022
616,Hydro,Sholayar-1,Net Generation of 2022(M.U),209.18,2022
617,Hydro,Sholayar-2,Net Generation of 2022(M.U),55.06,2022
618,Hydro,Kodayar-1,Net Generation of 2022(M.U),90.46,2022
619,Hydro,Kodayar-2,Net Generation of 2022(M.U),7.33,2022
620,Thermal,Ennore TPS,Net Generation of 2022(M.U),0.0,2022
621,Thermal,North Chennai TPS,Net Generation of 2022(M.U),4040.57,2022
622,Thermal,Tuticorin TPS,Net Generation of 2022(M.U),7239.96,2022
623,Thermal,Mettur TPS,Net Generation of 2022(M.U),5509.12,2022
